SOURCE	TARGET	ENZYMES
C06157	C00322	2.3.1.61;1.2.4.2
C00669	C00051	;6.3.2.3;2.3.2.4;1.8.4.4
C00669	C00037	;2.3.1.1;4.4.1.1;3.4.11.1;3.4.11.2;6.3.2.3;2.3.2.4;2.8.1.7
C00669	C01879	;1.8.1.6;6.1.1.16;2.3.1.1;4.4.1.1;1.16.3.1;3.4.11.1;2.6.1.1;3.4.11.2;6.3.2.2;6.3.2.3;4.2.1.22;6.3.2.5;1.8.4.4;2.3.2.4;2.6.1.3;3.5.2.9;2.8.1.7;1.13.11.20
C00669	C00025	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00669	C00097	;1.8.1.6;6.1.1.16;2.3.1.1;4.4.1.1;1.16.3.1;3.4.11.1;2.6.1.1;3.4.11.2;6.3.2.2;6.3.2.3;4.2.1.22;6.3.2.5;1.8.4.4;2.3.2.4;2.6.1.3;3.5.2.9;2.8.1.7;1.13.11.20
C15973	C00322	2.3.1.61;1.2.4.2
C01342	C00322	
C00322	C15972	2.3.1.61;1.2.4.2
C00322	C00010	;2.3.1.61;1.2.4.2
C00322	C00068	1.2.4.2
C00322	C00956	2.6.1.39
C00322	C00527	2.3.1.61;1.2.4.2
C00322	C00025	;2.6.1.39;1.2.4.2;2.3.1.61
C00322	C02220	
C00322	C00091	2.3.1.61;1.2.4.2
C00322	C05381	1.2.4.2
C00322	C00026	;2.6.1.39;1.2.4.2;2.3.1.61
C00322	C16254	2.3.1.61;1.2.4.2
C00322	C00248	1.2.4.2
